,X,H,total,actual
"(0, 0)",489889.0,237142.0,727031.0,0.6738213363666749
"(0, 1)",263265.0,99370.0,362635.0,0.7259779116742731
"(1, 0)",176003.0,108926.0,284929.0,0.6177082711833475
"(0, 2)",118264.0,30381.0,148645.0,0.7956137105183491
"(1, 1)",198815.0,90880.0,289695.0,0.6862907540689346
"(2, 0)",49351.0,47718.0,97069.0,0.5084115423049583
"(1, 2)",161305.0,49360.0,210665.0,0.7656943488476966
"(2, 1)",90514.0,59460.0,149974.0,0.6035312787549842
"(3, 0)",8536.0,21223.0,29759.0,0.2868375953493061
"(2, 2)",120345.0,51147.0,171492.0,0.7017528514449654
"(3, 1)",25816.0,36391.0,62207.0,0.4150015271593229
"(3, 2)",52811.0,44752.0,97563.0,0.5413015179935017
