,"(0, 0)","(0, 1)","(1, 0)","(0, 2)","(1, 1)","(2, 0)","(1, 2)","(2, 1)","(3, 0)","(2, 2)","(3, 1)","(3, 2)",H,X
"(0, 0)",0.0,362635.0,284929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27951.0,51516.0
"(0, 1)",0.0,0.0,0.0,148645.0,149502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21392.0,43096.0
"(1, 0)",0.0,0.0,0.0,0.0,140193.0,97069.0,0.0,0.0,0.0,0.0,0.0,0.0,16574.0,31093.0
"(0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,81879.0,0.0,0.0,0.0,0.0,0.0,10756.0,56010.0
"(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,128786.0,100576.0,0.0,0.0,0.0,0.0,20363.0,39970.0
"(2, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,49398.0,29759.0,0.0,0.0,0.0,6453.0,11459.0
"(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100783.0,0.0,0.0,18720.0,91162.0
"(2, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70709.0,43500.0,0.0,12281.0,23484.0
"(3, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18707.0,0.0,10250.0,802.0
"(2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67654.0,19413.0,84425.0
"(3, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29909.0,22397.0,9901.0
"(3, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44225.0,53338.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
