,imp,avg_sp,imp_rank,avg_sp_rank
"(0, 0)",0.2003452193240594,92.06691828027567,12,10
"(0, 1)",0.2590231075596154,92.20193040596519,11,4
"(1, 0)",0.3034244473940336,92.00928887619592,10,12
"(0, 2)",0.8861295672299477,92.87436244640035,8,7
"(1, 1)",0.3258576518726396,92.18650946899368,7,8
"(2, 0)",0.44807679409466716,92.18344744633605,5,11
"(1, 2)",0.8734021568717066,92.80270562155403,4,5
"(2, 1)",0.45196916933940245,92.26377642900019,2,2
"(3, 0)",0.6380233728556668,92.06089252706627,3,1
"(2, 2)",0.8347335952202621,92.74879807692308,6,3
"(3, 1)",0.7849149217990388,92.34137499999999,9,6
"(3, 2)",1.0,92.70543812642651,1,9
