,imp,avg_sp,imp_rank,avg_sp_rank
"(0, 0)",0.2006233031427826,92.06691828027567,12.0,10.0
"(0, 1)",0.2605194808836433,92.20193040596519,11.0,7.0
"(1, 0)",0.30291012457325306,92.00928887619592,10.0,12.0
"(0, 2)",0.8825494398061287,92.87436244640035,2.0,1.0
"(1, 1)",0.32674449041061737,92.18650946899368,9.0,8.0
"(2, 0)",0.4451505738025173,92.18344744633605,8.0,9.0
"(1, 2)",0.8702063113997096,92.80270562155403,3.0,2.0
"(2, 1)",0.4511743196887754,92.26377642900019,7.0,6.0
"(3, 0)",0.6342953148653316,92.06089252706627,6.0,11.0
"(2, 2)",0.8325111564977921,92.74879807692308,4.0,3.0
"(3, 1)",0.7820225408153996,92.34137499999999,5.0,5.0
"(3, 2)",1.0,92.70543812642651,1.0,4.0
