,"(0, 0)","(0, 1)","(1, 0)","(0, 2)","(1, 1)","(2, 0)","(1, 2)","(2, 1)","(3, 0)","(2, 2)","(3, 1)","(3, 2)",H,X
"(0, 0)",0.0,0.5206028979717526,0.3686050285885496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03920001997453247,0.07159205346516524
"(0, 1)",0.0,0.0,0.0,0.4260934902161402,0.4036801381250799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056576927995907404,0.1136494436628725
"(1, 0)",0.0,0.0,0.0,0.0,0.5109169319695636,0.3229470071575335,0.0,0.0,0.0,0.0,0.0,0.0,0.05707963602700445,0.10905642484589853
"(0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.5525831988894309,0.0,0.0,0.0,0.0,0.0,0.06318238097024725,0.38423442014032194
"(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.4621650410409574,0.33436370851521546,0.0,0.0,0.0,0.0,0.06840159568913302,0.13506965475469412
"(2, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5331748584213102,0.27700482416276306,0.0,0.0,0.0,0.06858700971824093,0.1212333076976858
"(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4752007814195789,0.0,0.0,0.0827545040156284,0.4420447145647927
"(2, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4993018828009308,0.2682885551089486,0.0,0.08119314575840914,0.15121641633171146
"(3, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6552246340232206,0.0,0.31675921251892986,0.02801615345784957
"(2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38741258741258744,0.10564557393825687,0.5069418386491558
"(3, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041960389392414,0.3401588900078326,0.15564507105292605
"(3, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4323267982096703,0.5676732017903297
H,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,
