,imp,imp_rank,avg_sp,avg_sp_rank,cnt
"(3, 2)",1.0,1.0,92.40912597380822,1.0,65593.0
"(0, 2)",0.8702418937655994,2.0,92.27709882069048,3.0,77079.0
"(1, 2)",0.8570361793442356,3.0,92.18711717520335,4.0,105466.0
"(2, 2)",0.8190423628993326,4.0,92.29113391582682,2.0,92476.0
"(3, 1)",0.7794586959934997,5.0,92.06552014869604,5.0,52187.0
"(3, 0)",0.6332787541771943,6.0,91.86453465970787,8.0,28549.0
"(2, 1)",0.4551616970778407,7.0,91.95595396898085,6.0,100454.0
"(2, 0)",0.4427901847754907,8.0,91.88556837158724,7.0,77247.0
"(1, 1)",0.3344859541394989,9.0,91.78625092391692,11.0,167764.0
"(1, 0)",0.31147641962776673,10.0,91.69853457237691,12.0,189501.0
"(0, 1)",0.2677716349634958,11.0,91.81724144503,9.0,209878.0
"(0, 0)",0.2039012071531634,12.0,91.78832515193537,10.0,486062.0
